,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis
0,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},e4e20cc4719f15703e30af6acffb6e06df4da0d5,3D,"(0.703125, 0.703125, 2.5)","(512, 512, 133)",-826.9439289121699,-2048.0,3071.0,25626d7105dfb620b4986ecbeae683d4e8775329,"(0.703125, 0.703125, 2.5)","(512, 512, 133)","(298, 341, 86, 39, 48, 8)",5905,1,"(315.51752751905167, 366.8086367485182, 89.58882303132938)","(55.848261536833206, 86.21232571380187, -116.02794242167653)",-582.0,126.0,551829784.0,4.891775466158824,436.0,2.4196547931219223,253.0,236.97892097642537,-132.33192209991532,-8.0,-900.0,1153.0,184.0576541945104,305.69801417069846,-0.8459395656909546,682040596.0693359,0.04910997654795337,75939.5382612505,1187.133115726437,33.55803952592395,327541.7003493371,-6244.744178450204,311.59956277676366,71.42145790553947,0.6024966454201833,5.6897458842048785,3.8377347023191914,34.07825864800158,0.008804525435537319,8.457362208060847,-0.1623867943060734,0.821370055621619,0.27464853295334113,0.9713860656086583,0.34403689469433973,0.9031592485628983,0.2534718476343486,0.03647756745990485,5.521889852781825,95.7552551705757,218.6992447711817,0.04154777175640387,123.97579985074955,1045.0479370421206,1.5006441357135865,1798.2196432865244,0.004196779477083672,0.0035989492483667123,5.473896168314497,4360.2420687261465,0.8256252437885216,0.8881260991337196,0.21205503565662703,0.9238791375170794,933.6975797776038,0.0034919497630038184,62.28383128295255,0.02736547947405648,105.26429526718785,713.8532513181019,421.0355887521968,684866.7346221441,0.2732811748298497,0.005639772646988051,1104.469244288225,0.4852676820247034,0.7241715921375141,483.2962881108457,0.004546360575208716,6.732722403236384,0.3854360711261643,414.3043454508109,7.415735220625081,906.9854360711262,0.15359617884354382,11.4363760959763,289.9944115156647,121.55701256344274,1096.413547840813,26.714479254868756,41576.865707027944,0.026616823024522885,0.0033296485362648643,0.3403681361613106,248.9232135209269,0.0019432336078062178
1,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},e4e20cc4719f15703e30af6acffb6e06df4da0d5,3D,"(0.703125, 0.703125, 2.5)","(512, 512, 133)",-826.9439289121699,-2048.0,3071.0,729d5c83b0610f57f8e99307c4595abc9b99a3a1,"(0.703125, 0.703125, 2.5)","(512, 512, 133)","(299, 345, 87, 40, 41, 7)",4613,1,"(316.47951441578147, 367.3154129633644, 89.74355083459787)","(56.524658573596355, 86.56865273986557, -115.64112291350534)",-260.0,133.0,128287723.0,4.2709549892522665,197.0,4.739799853605195,253.0,130.90669095139143,-12.045306741816605,57.0,-808.0,1061.0,87.17617626876806,166.76343075831437,-1.4351359133150694,158558739.6697998,0.07505734672213783,27664.95242377866,1198.5484265557166,34.40579773541696,60778.385509985485,-1595.0567482668735,93.92486184202863,35.79077613914673,0.41258462763891246,3.9332255295312555,3.4312366927712477,18.489552733073932,0.014396206901941731,7.425930691320326,-0.11892973575860531,0.6763152750277709,0.3278297055408407,0.9830901468509858,0.3968249459851262,0.9250936536899705,0.30031054612422203,0.04710086847865683,4.776013288514642,32.42890949529382,259.3904269414556,0.06474656957400785,47.15513846439278,1101.4273951933462,1.6276335308947252,1949.9146587452935,0.002165743207636025,0.001665540582776761,4.957995545672664,3183.4018397842515,0.790276619761907,0.8652637195884539,0.2624808329471286,0.9064813670535341,976.5954349500116,0.0015881045392402624,60.08798882681564,0.04196088605224556,51.4000635903998,823.3240223463687,671.4713687150838,938499.5391061453,0.48456685130298016,0.002940225812907069,669.4078212290502,0.4674635623107893,0.7108914017224199,547.23777933639,0.002513515723086823,6.295372627882268,0.31042705397788856,661.0941523165632,7.031557112897848,558.8066334272708,0.12113735821098434,12.817083117772565,346.2395404292218,44.32766521102744,1135.6037285931063,33.09538261435075,45427.22696726642,0.025660241041195665,0.001545152063238321,0.2789854979323693,233.7163142303683,0.0008510851202026408
2,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},e4e20cc4719f15703e30af6acffb6e06df4da0d5,3D,"(0.703125, 0.703125, 2.5)","(512, 512, 133)",-826.9439289121699,-2048.0,3071.0,8e720c275f71b9806da2b54e213d2243938d1030,"(0.703125, 0.703125, 2.5)","(512, 512, 133)","(299, 346, 86, 37, 42, 8)",4955,1,"(316.6135216952573, 367.28738647830477, 89.69021190716448)","(56.6188824419778, 86.54894661755804, -115.77447023208879)",-384.59999999999997,131.0,215631598.0,4.492920511518554,261.0,3.5196228401538496,253.0,165.42920569688243,-46.93562058526741,46.0,-813.0,1066.0,115.55477466129979,208.6096388782073,-1.2090445832715242,266512442.59643555,0.06577392292489112,41315.02895317188,1139.9913847468722,33.421508509941965,96769.12001013027,-2439.7128840944383,140.68355463492992,50.55918667646126,0.42959821236558476,4.646743009035121,3.613923025319598,26.031870608783336,0.012434778831061921,7.757410142902996,-0.1300959553608174,0.7204250913211877,0.3089571577737917,0.9767549073372741,0.37750755372325273,0.914141211125063,0.2834044507277687,0.04367301405978806,5.012879266686243,47.81068532784775,243.43136970886852,0.05606202441856235,69.50873437181437,1027.6200974365224,1.5846102791039054,1808.57500149988,0.0025603145291426656,0.0020521020285633397,5.148994762535754,3500.113378461704,0.8024638958386857,0.872933322983777,0.2460355266679469,0.9125617038760261,912.6465862541993,0.0019710190900919865,58.05804907241173,0.03474449375967189,69.79702396748705,728.0526630760024,576.2052663076003,804782.8408138839,0.41828721928162277,0.0034649574099631215,798.8420107719928,0.47806224462716507,0.7186942252658379,484.4726314827429,0.002873925717566378,6.470309146261738,0.3372351160443996,567.4123200683608,7.172442185430874,651.9194752774974,0.13156800711957567,12.50532410259439,325.9097880928355,66.14236283972504,1067.242179616549,31.02744702320888,42295.64500504541,0.02540040915035968,0.001898587060848117,0.3015157595654998,223.86370533908322,0.00106696329639385
3,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},e4e20cc4719f15703e30af6acffb6e06df4da0d5,3D,"(0.703125, 0.703125, 2.5)","(512, 512, 133)",-826.9439289121699,-2048.0,3071.0,17da0178f427f7dae477d30a80f6b523b1ddd78a,"(0.703125, 0.703125, 2.5)","(512, 512, 133)","(299, 342, 86, 36, 49, 9)",5498,1,"(316.5974899963623, 366.81866133139323, 89.69261549654419)","(56.607610153692235, 86.21937424863586, -115.76846125863952)",-475.29999999999995,128.0,349870250.0,4.70619169802808,337.75,2.797995959417626,253.0,198.99376564856877,-88.08803201164059,19.0,-776.0,1029.0,148.28929170856117,252.26159648130013,-0.9840005657868551,432426303.8635254,0.05568571447853454,55876.41167561046,998.2096739625789,31.022770373737977,160614.30606525778,-3598.279628776353,207.6906552829869,67.13705513649157,0.47526772880410323,5.436713015296617,3.771053442543755,32.84605820983903,0.010053517138141939,8.152879547334106,-0.1478105314427767,0.7775120822248696,0.28667440080600437,0.9684754746764417,0.35510291800290084,0.9002195495985116,0.2642355373866365,0.03902477276882759,5.285435849436016,68.70692760486965,230.44829280061396,0.047350000660118116,91.90178271736302,888.9314245834515,1.5342643632537798,1549.233941824327,0.004599487150751076,0.0037807913711027288,5.313676694946332,3989.147438986787,0.8162831245660017,0.8820270308084059,0.22550381195286104,0.9192890252003073,791.4525453891355,0.0036379648250793655,63.95228628230616,0.03178543055780624,78.21243710698039,608.8598409542743,479.2445328031809,633264.3772365805,0.3808908555895772,0.005306209894334594,980.8479125248509,0.48749896248750046,0.7259323120099956,411.6780758916534,0.003836445154624581,6.535793358822656,0.36595125500181885,471.7774061397025,7.293310874740903,791.0036376864314,0.14387116000116978,11.88706803135265,306.1600582029829,89.40029560006673,930.0732993815933,28.42997453619498,36200.898690432885,0.03400867946889674,0.0035173270594575055,0.3257663452937121,203.1405460496051,0.0016694499298635927
4,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},c50c99ad1f526f9923c23bcda963d46a893f86a8,3D,"(0.681641, 0.681641, 1.25)","(512, 512, 261)",-1013.563545168588,-3024.0,1752.0,c39e4651e7baaa163c6f6150a53258bf2974d0bc,"(0.681641, 0.681641, 1.25)","(512, 512, 261)","(325, 345, 171, 48, 33, 28)",10351,1,"(345.70872379480244, 362.91604675876727, 184.54584098154768)","(60.14924019621296, 72.8784570286929, -103.81769877306539)",-816.0,-507.0,4822892433.0,4.247413620288248,169.0,3.9361376360976514,84.0,97.93276607444275,-671.4183170708144,-687.0,-929.0,1013.0,69.69634600087096,682.5942626114099,0.8047152868039006,2801102483.638588,0.060513695124714446,15132.37085180981,152.29608454832166,11.645049515613682,17818.494063340775,345.70326455021944,76.80530951860713,10.05926053530862,0.7669355379439675,2.316661287495414,2.783871060219396,4.518781801344826,0.007163022302631143,7.6275700200937795,-0.18216188725953011,0.8692342554981137,0.36466351755086734,0.994456015926147,0.43905977574286925,0.949828322116454,0.3560522985388008,0.015481230692100528,5.108813356274203,21.71614251347893,530.708081648033,0.05961994675818358,25.057193036979225,165.42350666560367,1.576236124201292,238.747527018305,0.02226148060643088,0.013108028737790888,4.931763549921204,6801.136454079664,0.7613619383518397,0.8598203072166939,0.2124251520452219,0.8943759147431964,151.4298350402561,0.011518755744386709,74.25269461077845,0.04446269138369967,42.28057513715085,249.29580838323352,1084.7922155688623,115154.18203592814,16.40226569086383,0.011373898538366175,576.7640718562874,0.3453677076983757,0.6092030834593798,168.87442074676326,0.006796031056327887,6.8322814865903085,0.1613370688822336,1046.3744877908853,7.418073374413943,1202.7665925997487,0.11619810574821261,7.155550542119794,626.3772582359193,24.26162669901938,160.34643995749204,28.728528644575402,3477.428074582166,0.4777893371317798,0.013440231492973987,0.1633975884944316,38.16461256132623,0.001879202835441231
5,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},c50c99ad1f526f9923c23bcda963d46a893f86a8,3D,"(0.681641, 0.681641, 1.25)","(512, 512, 261)",-1013.563545168588,-3024.0,1752.0,c47d79afd388c37e6e01ac43aa0a9c6d43a454b4,"(0.681641, 0.681641, 1.25)","(512, 512, 261)","(325, 335, 176, 48, 39, 23)",12595,1,"(344.6137356093688, 358.96308058753476, 184.08979753870582)","(59.40285135450577, 70.1839532147678, -104.38775307661771)",-860.0,-536.0,6516254049.0,4.28187005672946,182.0,3.580730083511437,-39.0,102.51646216503677,-708.0534339023422,-723.0,-951.0,912.0,74.84955545516765,719.283201981417,0.7272942438262275,3784595168.6133957,0.05830677876325713,16028.659391741461,145.23226528926932,11.21715010623288,22748.970466693685,448.70077555608356,86.79547310908697,9.186037358681967,0.8076980396859307,2.1792051659913514,2.7264137763787195,4.287960808702583,0.007511312204846293,7.604300670657533,-0.20877179770082893,0.9000369631300219,0.3869851842700459,0.9938464364623958,0.4572740117594463,0.9481584770591343,0.36848030024945905,0.019113271961532945,5.1751189361792695,23.99537761694222,605.5850540100747,0.05720942284236859,26.324571453358963,157.68987036832704,1.6890157851432686,235.5697929704697,0.030071654919198054,0.01582452314475585,5.038242458705894,7797.54419889729,0.7339872021762611,0.8402907136531591,0.2600766379796337,0.880207263827574,143.09450104961144,0.013516245917911769,73.20049200492005,0.04501875277055353,41.138917256331226,246.83025830258302,2235.148216482165,181482.58179581797,46.04729848391932,0.013991235847029628,526.1722017220172,0.3235991400504411,0.5893924590183651,158.37097074152697,0.008371276452758874,6.9543155442688755,0.12909884874950378,2175.147662371458,7.579395893994681,1329.5868995633189,0.10556466054492408,9.179778676106844,734.3738785232235,25.713472970253385,151.1356887653831,35.72743152044462,3695.3649861055974,0.7964192431048757,0.016497175196063578,0.13727989202743704,30.764954313209337,0.0019145033913154901
6,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},1f4847eac70bc5c09b160de0e751ad601e0f690c,3D,"(0.820312, 0.820312, 2.5)","(512, 512, 140)",-802.6419776371547,-2048.0,5892.0,66fec202a7f808ba58942bb5d4775e9f6ed3a5d2,"(0.820312, 0.820312, 2.5)","(512, 512, 140)","(351, 332, 62, 32, 34, 8)",2542,1,"(369.0802517702596, 346.8512981904013, 66.39968528717546)","(73.96095649016524, 74.52628212116446, -213.00078678206137)",-798.9,-465.0999999999999,1095543793.0,4.382795879381341,165.75,5.932878975093455,176.0,106.74397269847675,-640.7659323367427,-660.0,-891.0,1067.0,70.27540697268894,656.488462875226,1.3017485645944924,1843010802.2645433,0.05776843598744862,20396.121844901794,141.04363685937608,11.247295078256778,34519.0906421657,673.0753860471783,85.06823586413685,26.918111532219577,0.5002300765589467,3.5129677521752023,3.3122897063724204,13.86848921868108,0.005793644292944316,8.008118941665119,-0.1383078428903916,0.7994313800607746,0.2955294924460802,0.9872622321389157,0.37616145832224457,0.9312192766095582,0.29713568549254626,0.015005016822630331,5.1348866284118495,27.996586849089095,129.76064680094152,0.056521222832911465,34.40502893516321,155.21973265189374,1.3714699766354868,198.3511785523233,0.03317540492008064,0.02519977555557238,4.884972878851805,1913.8212675250725,0.8307216150907983,0.9029534588149851,0.1355486635465631,0.9278970343115004,146.77193997354775,0.02355777258192155,29.566248256624824,0.0412360505671197,60.660807758967806,230.09623430962344,90.44351464435147,9541.788005578801,1.3995873855099614,0.028148338657024752,265.0976290097629,0.3697317001530863,0.6321146332534282,175.56047173554703,0.013966920631550967,6.693464031172697,0.28206136900078677,77.87416575729105,7.089424322662302,391.59638080251773,0.15405050385622254,4.464252795366715,146.8473642800944,32.76476516319693,151.3878835562549,16.877261998426437,1967.6239181746655,0.33624301940704737,0.024883869382787374,0.25576824586852603,59.79599670698964,0.00604703948477794
7,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},1f4847eac70bc5c09b160de0e751ad601e0f690c,3D,"(0.820312, 0.820312, 2.5)","(512, 512, 140)",-802.6419776371547,-2048.0,5892.0,507b97aefd8144df4cd0569b403783cf5dc83005,"(0.820312, 0.820312, 2.5)","(512, 512, 140)","(351, 335, 72, 34, 31, 7)",2821,1,"(367.1804324707551, 349.59234314073024, 75.52357320099256)","(72.40251192095008, 76.77479418645873, -190.1910669975186)",-486.0,40.0,181726925.0,4.588998924566304,287.0,3.0221568275883954,276.0,172.25009345893042,-145.77915632754343,-58.0,-782.0,1058.0,125.2664925365676,253.80962994416262,-1.0171840477062697,305715470.2325245,0.06084399414378488,43167.76583282242,838.7729001730405,28.44826533036981,107298.42088311791,-2577.3152905612706,160.13911623812555,43.864704295290686,0.5436115665214533,4.523240341351331,3.641482807879365,21.85542032110163,0.01146877212926011,7.936841713750021,-0.1408873317415937,0.7944677451452964,0.29684055148969657,0.9793257656034864,0.3679614894703314,0.9148560516453029,0.27271439374029327,0.04594764737719588,5.223937687624153,51.00095513335406,128.19149381155893,0.0513186069747906,71.36491216597516,746.6331401914704,1.5110639257682636,1281.089011223214,0.0052102805127229234,0.0044511535560376875,5.191131488835388,2035.4687362412083,0.8137606440331453,0.8828293294794537,0.21387408107166359,0.9193278407451875,664.3357204845901,0.0043080853655206265,37.33863423760524,0.034928563365393114,67.0633142013072,520.0084190832554,263.0523854069224,290876.61085126287,0.25201136290730447,0.006921522423174182,510.8110383536015,0.477840073296166,0.717808186984602,343.37720661532626,0.005275371232380545,6.384730475134504,0.37894363700815314,256.08851369621465,7.04385571968336,429.69478908188586,0.1523200244884388,12.416489435025529,171.64090747961717,69.07727266044496,781.2538107054236,28.790145338532437,30934.706487061325,0.03631527708848322,0.004109283423208272,0.33395712829879665,176.34191184869303,0.002254093509741496
8,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},1f4847eac70bc5c09b160de0e751ad601e0f690c,3D,"(0.820312, 0.820312, 2.5)","(512, 512, 140)",-802.6419776371547,-2048.0,5892.0,e020ca05819fe08474d8830c1c202d1c0356994b,"(0.820312, 0.820312, 2.5)","(512, 512, 140)","(350, 337, 72, 32, 28, 7)",2513,1,"(367.3959411062475, 350.06207719856747, 75.44608038201353)","(72.57929624074814, 77.16012267091128, -190.38479904496617)",-299.79999999999995,43.80000000000018,61039309.0,4.071993669108388,202.0,2.4918871979233854,276.0,111.69791528936122,-82.60366096299244,-33.0,-493.0,769.0,83.78362674089048,155.850629203605,-0.7368186441547888,102685174.76759905,0.07772539420560241,17466.053818670574,341.63850648484834,18.253024387420922,12530.857133209785,-414.64108190508773,63.11301412210618,29.501999686688315,0.35687188954277577,3.759264593393981,3.412386278419824,14.481941376519877,0.014119052000999617,7.380690981135394,-0.09486802157429727,0.65781280840283,0.32188081461161805,0.9741922122508141,0.39273487075357794,0.904477523583159,0.29318793622625017,0.05085994465435133,4.767649258515951,23.153753452198632,148.28943342065588,0.06766116305434301,29.120632135198523,309.1447788764307,1.5787012584049687,556.2109991404838,0.008879066181178048,0.007102825832304239,4.709564576511054,1741.9984169118802,0.7929811462679413,0.8698766414643851,0.24020921823035984,0.9093020428779017,271.41134604243535,0.006791746281898412,45.8039457459926,0.05647835480393663,27.057387554905496,205.87792848335388,346.72626387176325,157219.86313193588,0.7911304607013504,0.010983190233456038,346.01356350184955,0.4266505098666456,0.6770447573073087,128.24292911621512,0.007630543361675964,5.8894041974267495,0.32272184639872664,337.12467140322417,6.707607256227076,330.52487067250297,0.13152601300139394,12.888965916826614,195.32391563867887,28.06409202984116,324.25189017111023,32.101472343812176,14147.663748507759,0.08643476867031338,0.006584559435149988,0.28236320926062414,60.24606918950137,0.0029521566055954523
9,0+unknown,1.26.2,2.1.1.2,1.2.0,3.10.13,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25, 'weightingNorm': None}",{'Original': {}},1f4847eac70bc5c09b160de0e751ad601e0f690c,3D,"(0.820312, 0.820312, 2.5)","(512, 512, 140)",-802.6419776371547,-2048.0,5892.0,22bbd3bf08c236d8871072d399a3c6a5a489871b,"(0.820312, 0.820312, 2.5)","(512, 512, 140)","(354, 336, 72, 30, 30, 7)",3111,1,"(367.5609128897461, 350.10382513661204, 75.4059787849566)","(72.71462457441339, 77.19436900546452, -190.4850530376085)",-493.0,39.0,215898571.0,4.624036357364536,342.0,2.1594342700982976,276.0,178.75670769754382,-164.29347476695597,-87.0,-720.0,996.0,141.98334924205776,263.43585133005655,-0.6617140665907633,363201727.84409946,0.054542414949865795,42406.10191499124,633.5332922803902,24.550119734900083,85293.44607452108,-1990.5813449713046,173.6620750918829,51.03599858093354,0.5427537306701494,4.990823068109012,3.783376749728058,24.580666106974206,0.009023424797831013,8.288596713840352,-0.12616475602216617,0.7808192881674583,0.2729770113261587,0.9728717117933164,0.3459512821575758,0.9013504473845573,0.251493732559822,0.04026600923745986,5.37093608432206,56.174518418204116,129.89759824415438,0.04680092488051973,68.70641899095197,564.0743671873905,1.471060007873252,962.6469920082569,0.005975654721076865,0.005133833111869635,5.178904542006417,2290.977879100417,0.8247549171762418,0.8899933239373935,0.19786743831733042,0.9248055133364207,502.48435478004524,0.004987292221223631,45.28617886178862,0.0368180315949501,57.762750347015675,377.82357723577235,229.5520325203252,209760.3569105691,0.2668755890563901,0.00784086855370931,578.5333333333333,0.47035230352303525,0.7124620310375832,247.3300651749231,0.006231555891277564,6.31416665682173,0.39537126325940214,223.15483442395404,7.044453546016592,504.1623272259724,0.16205796439279085,11.684402284239178,169.68145290903246,67.82435362497276,594.431693989071,26.585342333654772,23321.787528126006,0.04039590996374253,0.00476585671104206,0.3458379300634857,133.44072680383962,0.0027555438456300803
